Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4405.234375,6110.0,6110.0,5660.0,6000.0,74195000
2000-01-05,4023.1103515625,5580.0,6060.0,5520.0,5800.0,74680000
2000-01-06,4051.949951171875,5620.0,5780.0,5580.0,5750.0,54390000
2000-01-07,3994.272216796875,5540.0,5670.0,5360.0,5560.0,40305000
2000-01-10,4160.099609375,5770.0,5770.0,5580.0,5600.0,46880000
2000-01-11,4160.099609375,5770.0,6100.0,5770.0,5820.0,59745000
2000-01-12,4124.04931640625,5720.0,5740.0,5600.0,5610.0,29220000
2000-01-13,4116.8408203125,5710.0,5740.0,5560.0,5600.0,41190000
2000-01-14,4203.35888671875,5830.0,5880.0,5680.0,5720.0,49375000
2000-01-17,4398.025390625,6100.0,6180.0,5920.0,6000.0,63505000
2000-01-18,4398.025390625,6100.0,6160.0,5980.0,6160.0,45260000
2000-01-19,4297.0869140625,5960.0,6040.0,5960.0,6000.0,40205000
2000-01-20,4354.765625,6040.0,6040.0,5820.0,5860.0,37315000
2000-01-21,4239.408203125,5880.0,5980.0,5880.0,5950.0,32535000
2000-01-24,4109.62890625,5700.0,5900.0,5700.0,5800.0,34355000
2000-01-25,3922.172119140625,5440.0,5640.0,5440.0,5520.0,44250000
2000-01-26,3951.011474609375,5480.0,5520.0,5410.0,5500.0,29285000
2000-01-27,3979.851806640625,5520.0,5620.0,5430.0,5480.0,27900000
2000-01-28,4196.14892578125,5820.0,5880.0,5540.0,5640.0,38315000
2000-01-31,4023.1103515625,5580.0,5730.0,5560.0,5640.0,39630000
2000-02-01,3835.656005859375,5320.0,5680.0,5260.0,5600.0,71470000
2000-02-02,3785.1845703125,5250.0,5370.0,5110.0,5220.0,64105000
2000-02-03,3698.667724609375,5130.0,5460.0,4970.0,5250.0,142765000
2000-02-04,3698.667724609375,5130.0,5130.0,5130.0,5130.0,0
2000-02-07,3777.97607421875,5240.0,5330.0,5040.0,5140.0,64140000
2000-02-08,3914.963134765625,5430.0,5480.0,5310.0,5340.0,58460000
2000-02-09,4124.04931640625,5720.0,5720.0,5480.0,5560.0,51050000
2000-02-10,4152.8876953125,5760.0,5880.0,5600.0,5660.0,61845000
2000-02-11,4109.62890625,5700.0,5960.0,5680.0,5960.0,34660000
2000-02-14,3878.912841796875,5380.0,5660.0,5340.0,5600.0,44140000
2000-02-15,3749.13427734375,5200.0,5420.0,5140.0,5380.0,38315000
2000-02-16,3604.937744140625,5000.0,5200.0,4780.0,5180.0,73115000
2000-02-17,3662.617919921875,5080.0,5100.0,4910.0,4940.0,65185000
2000-02-18,3821.23388671875,5300.0,5630.0,5160.0,5370.0,108750000
2000-02-21,3655.406494140625,5070.0,5260.0,5030.0,5200.0,26485000
2000-02-22,3691.456298828125,5120.0,5240.0,5000.0,5000.0,24180000
2000-02-23,3705.8779296875,5140.0,5260.0,5100.0,5220.0,27720000
2000-02-24,3655.406494140625,5070.0,5240.0,5060.0,5120.0,26075000
2000-02-25,3691.456298828125,5120.0,5150.0,4980.0,5080.0,27875000
2000-02-28,3460.7421875,4800.0,5050.0,4800.0,5000.0,30140000
2000-02-29,3691.456298828125,5120.0,5140.0,4840.0,4900.0,51820000
2000-03-01,3691.456298828125,5120.0,5120.0,5120.0,5120.0,0
2000-03-02,4239.408203125,5880.0,5880.0,5520.0,5880.0,117750000
2000-03-03,4325.9248046875,6000.0,6250.0,5880.0,6200.0,140990000
2000-03-06,4066.37109375,5640.0,6050.0,5600.0,6000.0,39150000
2000-03-07,4051.949951171875,5620.0,5640.0,5480.0,5600.0,30070000
2000-03-08,4268.24853515625,5920.0,6000.0,5500.0,5520.0,32460000
2000-03-09,4051.949951171875,5620.0,5980.0,5620.0,5970.0,55890000
2000-03-10,3994.272216796875,5540.0,5800.0,5520.0,5790.0,28605000
2000-03-13,3734.715576171875,5180.0,5490.0,5160.0,5480.0,32215000
